param_logisticregression__class_weight,param_logisticregression__C,split_number,scores
balanced,1,split0_test_f1,0.505226480836237
None,100,split0_test_f1,0.4615384615384615
None,0.1,split0_test_f1,0.4626682986536107
None,0.001,split0_test_f1,0.27218934911242604
balanced,0.1,split0_test_f1,0.5069444444444445
balanced,10,split0_test_f1,0.5043630017452007
None,10,split0_test_f1,0.4615384615384615
balanced,100,split0_test_f1,0.5048034934497816
balanced,0.01,split0_test_f1,0.5125541125541125
balanced,0.001,split0_test_f1,0.509212730318258
balanced,1,split1_test_f1,0.5209222886421861
None,100,split1_test_f1,0.4682926829268293
None,0.1,split1_test_f1,0.470873786407767
None,0.001,split1_test_f1,0.2974963181148748
balanced,0.1,split1_test_f1,0.5187074829931974
balanced,10,split1_test_f1,0.5209222886421861
None,10,split1_test_f1,0.4682926829268293
balanced,100,split1_test_f1,0.5213675213675214
balanced,0.01,split1_test_f1,0.5152542372881356
balanced,0.001,split1_test_f1,0.5119341563786008
balanced,1,split2_test_f1,0.5209790209790209
None,100,split2_test_f1,0.44943820224719094
None,0.1,split2_test_f1,0.4502487562189054
None,0.001,split2_test_f1,0.2956259426847662
balanced,0.1,split2_test_f1,0.5218150087260036
balanced,10,split2_test_f1,0.5200698080279232
None,10,split2_test_f1,0.44943820224719094
balanced,100,split2_test_f1,0.5200698080279232
balanced,0.01,split2_test_f1,0.5171232876712328
balanced,0.001,split2_test_f1,0.5108514190317195
balanced,1,split3_test_f1,0.5331010452961672
None,100,split3_test_f1,0.467080745341615
None,0.1,split3_test_f1,0.46782178217821785
None,0.001,split3_test_f1,0.3017751479289941
balanced,0.1,split3_test_f1,0.53125
balanced,10,split3_test_f1,0.5321739130434782
None,10,split3_test_f1,0.467080745341615
balanced,100,split3_test_f1,0.5321739130434782
balanced,0.01,split3_test_f1,0.5233160621761658
balanced,0.001,split3_test_f1,0.5223251895534963
balanced,1,split4_test_f1,0.5388513513513514
None,100,split4_test_f1,0.44417177914110423
None,0.1,split4_test_f1,0.45255474452554745
None,0.001,split4_test_f1,0.3124087591240876
balanced,0.1,split4_test_f1,0.539629005059022
balanced,10,split4_test_f1,0.5359256128486898
None,10,split4_test_f1,0.44417177914110423
balanced,100,split4_test_f1,0.5376162299239221
balanced,0.01,split4_test_f1,0.535
balanced,0.001,split4_test_f1,0.5286415711947627
balanced,1,split5_test_f1,0.5362831858407079
None,100,split5_test_f1,0.44645161290322577
None,0.1,split5_test_f1,0.4392764857881137
None,0.001,split5_test_f1,0.2765957446808511
balanced,0.1,split5_test_f1,0.5401588702559577
balanced,10,split5_test_f1,0.5367581930912312
None,10,split5_test_f1,0.44645161290322577
balanced,100,split5_test_f1,0.5367581930912312
balanced,0.01,split5_test_f1,0.537577365163572
balanced,0.001,split5_test_f1,0.5229982964224872
balanced,1,split6_test_f1,0.5669835782195334
None,100,split6_test_f1,0.5151148730350665
None,0.1,split6_test_f1,0.5145631067961165
None,0.001,split6_test_f1,0.32142857142857145
balanced,0.1,split6_test_f1,0.5657439446366782
balanced,10,split6_test_f1,0.5674740484429065
None,10,split6_test_f1,0.5151148730350665
balanced,100,split6_test_f1,0.5674740484429065
balanced,0.01,split6_test_f1,0.5711820534943918
balanced,0.001,split6_test_f1,0.5610783487784331
balanced,1,split7_test_f1,0.540447504302926
None,100,split7_test_f1,0.48225214198286404
None,0.1,split7_test_f1,0.4773561811505508
None,0.001,split7_test_f1,0.3156342182890855
balanced,0.1,split7_test_f1,0.540913006029285
balanced,10,split7_test_f1,0.540447504302926
None,10,split7_test_f1,0.48225214198286404
balanced,100,split7_test_f1,0.540913006029285
balanced,0.01,split7_test_f1,0.5315391084945331
balanced,0.001,split7_test_f1,0.515970515970516
balanced,1,split8_test_f1,0.5537918871252204
None,100,split8_test_f1,0.4506329113924051
None,0.1,split8_test_f1,0.4486692015209125
None,0.001,split8_test_f1,0.26100151745068284
balanced,0.1,split8_test_f1,0.5530035335689045
balanced,10,split8_test_f1,0.5555555555555555
None,10,split8_test_f1,0.4506329113924051
balanced,100,split8_test_f1,0.5550660792951542
balanced,0.01,split8_test_f1,0.5508771929824562
balanced,0.001,split8_test_f1,0.5393068469991547
balanced,1,split9_test_f1,0.5277777777777778
None,100,split9_test_f1,0.47630619684082626
None,0.1,split9_test_f1,0.4736196319018405
None,0.001,split9_test_f1,0.2852941176470588
balanced,0.1,split9_test_f1,0.5259515570934256
balanced,10,split9_test_f1,0.5269565217391304
None,10,split9_test_f1,0.4744525547445256
balanced,100,split9_test_f1,0.525674499564839
balanced,0.01,split9_test_f1,0.5262252794496991
balanced,0.001,split9_test_f1,0.5260504201680672
